Date,Close,High,Low,Open,Volume,MA10,MA50,EMA10,EMA50,Return,LogReturn,Volatility20,Momentum10,MACD,MACD_signal
1990-01-02,359.69000244140625,359.69000244140625,351.9800109863281,353.3999938964844,162070000,,,359.69000244140625,359.69000244140625,,,,,0.0,0.0
1990-01-03,358.760009765625,360.5899963378906,357.8900146484375,359.69000244140625,192330000,,,359.5209128639915,359.65353214039527,-0.00258553940745887,-0.0025888876871238797,,,-0.07418744991991844,-0.014837489983983689
1990-01-04,355.6700134277344,358.760009765625,352.8900146484375,358.760009765625,177000000,,,358.82074933012655,359.49731572029094,-0.00861298989234971,-0.00865029605599334,,,-0.3779615137069072,-0.08746229472856841
1990-01-05,352.20001220703125,355.6700134277344,351.3500061035156,355.6700134277344,158530000,,,357.61697894410923,359.21114695506503,-0.009756237775744192,-0.009804141692825745,,,-0.8884630968017291,-0.24766245514320057
1990-01-08,353.7900085449219,354.239990234375,350.5400085449219,352.20001220703125,140110000,,,356.921166144257,358.9985532919222,0.00451446985457804,0.004504310201034913,,,-1.1514664743029925,-0.428423258975159
1990-01-09,349.6199951171875,354.1700134277344,349.6099853515625,353.8299865722656,155210000,,,355.5936805029716,358.6307666968346,-0.011786690768585961,-0.011856704505531489,,,-1.6770517702921097,-0.6781489612385492
1990-01-10,347.30999755859375,349.6199951171875,344.32000732421875,349.6199951171875,175990000,,,354.0875563312665,358.1868149659232,-0.006607166611908077,-0.006629090560707917,,,-2.25399673028204,-0.9933185150472474
1990-01-11,348.5299987792969,350.1400146484375,347.30999755859375,347.30999755859375,154390000,,,353.0770913218175,357.80811629193784,0.003512715525838761,0.0035065603506973385,,,-2.5830105277076996,-1.311256917579338
1990-01-12,339.92999267578125,348.5299987792969,339.489990234375,348.5299987792969,183880000,,,350.6867097498109,357.10701340502976,-0.024675081438144675,-0.024984613692642398,,,-3.497389225940424,-1.7484833792515553
1990-01-15,337.0,339.94000244140625,336.57000732421875,339.92999267578125,140590000,350.2500030517578,,348.1982170680271,356.3185030754207,-0.008619400285092893,-0.00865676216196708,,,-4.407658114920764,-2.280318326385397
1990-01-16,340.75,340.75,333.3699951171875,337.0,186070000,348.3560028076172,,346.8439957829312,355.7079735430513,0.011127596439169052,0.011066140224280183,,-18.94000244140625,-4.771456724635641,-2.7785460060354463
1990-01-17,337.3999938964844,342.010009765625,336.260009765625,340.7699890136719,170470000,346.2200012207031,,345.1269045308499,354.99001355691144,-0.00983127249747795,-0.009879918554624889,,-21.360015869140625,-5.269345504326452,-3.276705905693648
1990-01-18,338.19000244140625,338.3800048828125,333.9800109863281,337.3999938964844,178590000,344.4720001220703,,343.86564960549646,354.33118959159754,0.002341459867258422,0.002338722921569845,,-17.480010986328125,-5.536359159995584,-3.7286365565540356
1990-01-19,339.1499938964844,340.4800109863281,338.19000244140625,338.19000244140625,185590000,343.1669982910156,,343.00825765840335,353.73584858394605,0.0028386157134980827,0.0028345944519936137,,-13.050018310546875,-5.605884966054987,-4.104086238454226
1990-01-22,330.3800048828125,339.9599914550781,330.2799987792969,339.1400146484375,148380000,340.8259979248047,,340.712211699205,352.81993314468593,-0.02585873263010774,-0.02619894748920321,,-23.410003662109375,-6.296072285670107,-4.542483447897402
1990-01-23,331.6099853515625,332.760009765625,328.6700134277344,330.3800048828125,179300000,339.0249969482422,,339.05726145417907,351.9881704861321,0.0037229264803306794,0.0037160135418038164,,-18.010009765625,-6.666949125061819,-4.967376583330285
1990-01-24,330.260009765625,331.7099914550781,324.1700134277344,331.6099853515625,207830000,337.3199981689453,,337.45776114716926,351.1360857519946,-0.0040709738716290245,-0.004079282843833427,,-17.04998779296875,-6.98923587930318,-5.371748442524864
1990-01-25,326.0799865722656,332.3299865722656,325.3299865722656,330.260009765625,172270000,335.0749969482422,,335.38907486082314,350.1534936272994,-0.012656764578690027,-0.012737543749252477,,-22.45001220703125,-7.495539478486137,-5.796506649717118
1990-01-26,325.79998779296875,328.5799865722656,321.44000244140625,326.0899963378906,198190000,333.66199645996096,,333.6456044848496,349.19845418281585,-0.0008586812770701169,-0.0008590501550187549,,-14.1300048828125,-7.829132919174697,-6.203031903608634
1990-01-29,325.20001220703125,327.30999755859375,321.7900085449219,325.79998779296875,150770000,332.48199768066405,,332.11004225251895,348.25733881121647,-0.0018415457594146423,-0.001843243489425161,,-11.79998779296875,-8.049135713815474,-6.572252665650002
1990-01-30,322.9800109863281,325.7300109863281,319.8299865722656,325.20001220703125,186030000,330.7049987792969,,330.45003656775697,347.26607105337774,-0.006826571763133282,-0.006849979394224939,0.009322088027336526,-17.769989013671875,-8.306868647862814,-6.9191758620925645
1990-01-31,329.0799865722656,329.0799865722656,322.9800109863281,322.9800109863281,189660000,329.872998046875,,330.2009365685767,346.5528912698048,0.01888654213401364,0.01871040568044194,0.01077724434595943,-8.32000732421875,-7.927523251467733,-7.120845339967598
1990-02-01,328.7900085449219,329.8599853515625,327.760009765625,329.0799865722656,154580000,328.93299865722656,,329.9444042006395,345.85630763353487,-0.000881177948146239,-0.0008815664136559811,0.010751254101658473,-9.399993896484375,-7.5631053248327476,-7.209297336940629
1990-02-02,330.9200134277344,332.1000061035156,328.0899963378906,328.7900085449219,164400000,328.11000061035156,,330.12178769647494,345.27057060585645,0.006478313900835753,0.0064574198157493715,0.010895053005806624,-8.22998046875,-7.021488550352103,-7.171735579622924
1990-02-05,331.8500061035156,332.1600036621094,330.45001220703125,330.9200134277344,130950000,328.2570007324219,,330.43600922502776,344.74427395870583,0.00281032466470732,0.002806383085365011,0.010839263026580361,1.470001220703125,-6.442940510165613,-7.025976565731462
1990-02-06,329.6600036621094,331.8599853515625,328.20001220703125,331.8500061035156,134070000,328.06200256347654,,330.2949173044971,344.1527339470746,-0.00659937441954761,-0.006621246572370496,0.010682393613797162,-1.949981689453125,-6.090939357081368,-6.838969124001443
1990-02-07,333.75,333.760009765625,326.54998779296875,329.6600036621094,186710000,328.41100158691404,,330.9231141582249,343.7447835962089,0.0124067108307222,0.012330378302502889,0.011168301469835298,3.489990234375,-5.419475049424818,-6.555070309086119
