,Model,RMSE,MAE,MAPE,R2,DirAcc
0,Naive,0.016940516181126818,0.011609508629903469,55028649.37670717,-0.7663663344574858,0.5091615769017213
1,LinearRegression,0.013779692199568672,0.01000555712100086,37904336.9105921,-0.168709391110629,0.4641865630205441
2,RandomForest,0.019295649813718813,0.01581160361014404,55716114.63147143,-1.2916395974145076,0.4636313159355913
3,"ARIMA(1,0,1)",0.010885095016858535,0.007145005319635196,34330705.82097801,-0.0008942902664539343,0.5456563974465723
4,LSTM,0.01594281443908124,0.010460818840851595,44365453.31211706,-0.5736688689582898,0.4923771880293619
